Designator,Mid X,Mid Y,Layer,Rotation,Comment,Package,LCSC Parts number
BOOT,19.69,12.38,T,180,SKRPACE010,SW_SKRPACE010,
C1,-13.34,-20.6,T,180,0.1u,CAPMP3216X180N,
C11,-3.81,2.86,T,270,10n,CAPC1005X60,
C12,-2.54,1.59,T,270,1u,CAPC1005X60,
C13,20.96,20.96,T,0,0.1u,CAPC1005X60,
C14,-6.03,1.59,T,90,1u,CAPC1005X60,
C15,-2.13,-3.81,T,180,10u,CAPC1005X60,
C16,-0.64,-2.54,T,180,0.1u,CAPC1005X60,
C17,-7.3,1.59,T,90,10n,CAPC1005X60,
C19,-3.81,-4.13,T,0,1u,CAPC1005X60,
C2,11.11,24.45,T,0,10u,CAPC1005X60,
C20,-6.03,-2.54,T,270,1u,CAPC1005X60,
C3,4.45,22.86,T,0,0.1u,CAPC1005X60,
C4,16.51,-1.59,T,270,10u,CAPC1005X60,
C5,15.56,17.46,T,270,0.1u,CAPC1005X60,
C6,11.75,7.94,T,180,0.1u,CAPC1005X60,
C7,0.64,12.07,T,90,0.1u,CAPC1005X60,
C8,11.11,22.86,T,0,0.1u,CAPC1005X60,
C9,11.75,6.67,T,180,1u,CAPC1005X60,
CHG,19.69,-22.86,T,0,LED_CHIP_GREEN-1608,LEDC1608X39N_G,
D1,12.07,-16.51,T,270,DIODE,DIOM5226X290N,
D2,10.42,-9.53,T,0,DIODE,DIOM5226X290N,
D3,-12.7,-15.24,T,270,DIODE,DIOM5226X290N,
D4,19.05,6.03,T,180,LED_BLUE,LEDC1608X35N_FLAT-B,
J1,20.47,-12.7,T,90,CQ-USB-C16PSMT01,SHENZHEN-CHUANGQIN-TECHNOLOGY_CQ-USB-C16PSMT01,
J4,-15.63,-6.53,T,0,PJ-320D-A,HRO_PJ-320D-A,
P1,-11.47,13.65,T,270,ST-TF-003A,SUNTECH_ST-TF-003A,
R1,15.78,-13.65,T,0,10k,RESC1608X60,
R10,20.32,-19.05,T,180,1M,RESC1608X60,
R11,-6.03,3.49,T,0,1k,RESC1608X60,
R12,-4.13,13.02,T,270,10k,RESC1608X60,
R13,-4.13,17.42,T,270,10k,RESC1608X60,
R14,-4.13,20,T,90,10k,RESC1608X60,
R15,-4.13,10.16,T,90,10k,RESC1608X60,
R16,-2.22,11.75,T,270,10k,RESC1608X60,
R17,-9.21,1.27,T,270,1k,RESC1608X60,
R18,-7.62,-2.22,T,90,10k,RESC1608X60,
R19,8.26,-0.95,T,0,100k,RESC1608X60,
R2,-11.11,-23.32,T,180,1k,RESC1608X60,
R20,11.11,-0.95,T,0,100k,RESC1608X60,
R3,-11.11,-25.54,T,0,100,RESC1608X60,
R4,15.4,-5.08,T,0,10k,RESC1608X60,
R5,9.21,-22.86,T,90,4k,RESC1608X60,
R6,19.69,-21.07,T,180,1k,RESC1608X60,
R7,17.78,20.96,T,180,10k,RESC1608X60,
R8,11.43,4.13,T,180,10k,RESC1608X60,
R9,19.05,7.94,T,0,1k,RESC1608X60,
RST,19.69,17.78,T,180,SKRPACE010,SW_SKRPACE010,
S1,0,-16.51,T,0,TL3305BF160QG,SW_TL3305BF160QG,
S2,0,-8.89,T,0,TL3305BF160QG,SW_TL3305BF160QG,
S3,0,-24.13,T,0,TL3305BF160QG,SW_TL3305BF160QG,
S4,-7.62,-16.51,T,270,TL3305BF160QG,SW_TL3305BF160QG,
S5,7.62,-16.51,T,90,TL3305BF160QG,SW_TL3305BF160QG,
STB,19.69,-24.77,T,0,LED_CHIP_RED-1608,LEDC1608X39N_R,
SW1,22.93,-2.22,T,90,SK12D07VG4,SK12D07VG4,
U$1,0,25.4,T,0,HS96L03W2C03,HS96L03W2C03,
U1,9.53,-5.4,T,0,AP2112K-3.3TRG1,SOT95P285X140-5N,
U2,14.29,-22.86,T,270,TP4056,SOP127P600X175-9N,
U3,-15.58,-24.3,T,90,DW01A,SOT95P280X145-6N,
U4,-7.62,-23.18,T,0,8205A,SOT95P285X140-6N,
U5,8.05,15.46,T,180,STM32F103RCT6,QFP50P1200X1200X160-64N,
U6,-3.49,-1.27,T,0,TPA6132A2RTER,QFN50P300X300X80-16N,
U7,18.41,-4.13,T,0,CH340E_MSOP10,MSOP10,
